frame_id,kp_name,kp_index,x_2d,y_2d
37,left_eye,1,1074.852,492.04358
37,right_eye,2,898.48846,512.7304
37,left_ear,3,1280.0,536.72626
37,right_ear,4,NaN,NaN
37,left_shoulder,5,NaN,NaN
37,right_shoulder,6,809.58704,926.2783
37,left_elbow,7,NaN,NaN
37,right_elbow,8,NaN,NaN
37,left_wrist,9,NaN,NaN
37,right_wrist,10,NaN,NaN
37,left_hip,11,NaN,NaN
37,right_hip,12,NaN,NaN
37,left_knee,13,NaN,NaN
37,right_knee,14,NaN,NaN
37,left_ankle,15,NaN,NaN
37,right_ankle,16,NaN,NaN
38,nose,0,947.23254,602.1574
38,left_eye,1,1067.769,488.26715
38,right_eye,2,893.4536,507.84982
38,left_ear,3,1280.0,531.62537
38,right_ear,4,NaN,NaN
38,left_shoulder,5,NaN,NaN
38,right_shoulder,6,808.9896,922.3948
38,left_elbow,7,NaN,NaN
38,right_elbow,8,NaN,NaN
38,left_wrist,9,NaN,NaN
38,right_wrist,10,NaN,NaN
38,left_hip,11,NaN,NaN
38,right_hip,12,NaN,NaN
38,left_knee,13,NaN,NaN
38,right_knee,14,NaN,NaN
38,left_ankle,15,NaN,NaN
38,right_ankle,16,NaN,NaN
39,nose,0,941.4737,600.0032
39,left_eye,1,1061.5115,485.11566
39,right_eye,2,886.78766,505.44232
39,left_ear,3,1279.897,525.03186
39,right_ear,4,NaN,NaN
39,left_shoulder,5,NaN,NaN
39,right_shoulder,6,806.30664,917.4081
39,left_elbow,7,NaN,NaN
39,right_elbow,8,NaN,NaN
39,left_wrist,9,NaN,NaN
39,right_wrist,10,NaN,NaN
39,left_hip,11,NaN,NaN
39,right_hip,12,NaN,NaN
39,left_knee,13,NaN,NaN
39,right_knee,14,NaN,NaN
39,left_ankle,15,NaN,NaN
39,right_ankle,16,NaN,NaN
40,nose,0,927.87384,596.5499
40,left_eye,1,1047.4158,480.40344
40,right_eye,2,872.06433,499.11423
40,left_ear,3,1263.1492,520.7365
40,right_ear,4,NaN,NaN
40,left_shoulder,5,NaN,NaN
